title,price,rating,reviews,availability,link
"PS5 - Sony PlayStation 5 Digital Edition Gaming Console + Wireless Controller - 16GB GDDR6 RAM, 825GB SSD, 120Hz 8K Output, White",,4.4 out of 5 stars,(273),Not Available,https://www.amazon.com/PS5-Playstation-Digital-Wireless-Controller/dp/B0966NLTZS/ref=sr_1_1?dib=eyJ2IjoiMSJ9.AC33kQw9D50ZZUPtemZNwXQGS3nDeGiv2XicaBlzrqB0Onz_MJjGEubPGe9hp7pNePwpkBLq1_6eFwyVs2Tswo7lSHiGASupIZNNxI5rFCX4pJR7B-fATW6O4S0_RcR2vrqRMlj5YSJq1A_RVP9qc897vO3e0hAR_kvyUJAuYadRvyk0uEMGKPcw_ncrw7KNOTOjUHX2enmxDIQP2sQTOSy_M4gb8rkYFDheCCjjGbg.amXE2jWhQYYxy0PoDlbZRIi_nx-yCQbxBiPcm17EWY0&dib_tag=se&keywords=playstation+5&qid=1775469640&sr=8-1
PlayStation 5 Disc Edition Console (slim),,4.7 out of 5 stars,"(5,249)",Only 11 left in stock - order soon.,https://www.amazon.com/PlayStation%C2%AE5-console-slim-PlayStation-5/dp/B0CL61F39H/ref=sr_1_2?dib=eyJ2IjoiMSJ9.AC33kQw9D50ZZUPtemZNwXQGS3nDeGiv2XicaBlzrqB0Onz_MJjGEubPGe9hp7pNePwpkBLq1_6eFwyVs2Tswo7lSHiGASupIZNNxI5rFCX4pJR7B-fATW6O4S0_RcR2vrqRMlj5YSJq1A_RVP9qc897vO3e0hAR_kvyUJAuYadRvyk0uEMGKPcw_ncrw7KNOTOjUHX2enmxDIQP2sQTOSy_M4gb8rkYFDheCCjjGbg.amXE2jWhQYYxy0PoDlbZRIi_nx-yCQbxBiPcm17EWY0&dib_tag=se&keywords=playstation+5&qid=1775469640&sr=8-2
"Sony PlayStation 5 PS5 Disc Version Gaming Console, 4K Blu-ray Player, 16GB GDDR6 Memory, Ultra-High Speed 825GB SSD, WiFi 6, Bluetooth 5.1, 120Hz 8K Output",,4.8 out of 5 stars,(6),Not Available,https://www.amazon.com/Sony-Playstation-Version-Ultra-High-Bluetooth/dp/B09W14BJF1/ref=sr_1_3?dib=eyJ2IjoiMSJ9.AC33kQw9D50ZZUPtemZNwXQGS3nDeGiv2XicaBlzrqB0Onz_MJjGEubPGe9hp7pNePwpkBLq1_6eFwyVs2Tswo7lSHiGASupIZNNxI5rFCX4pJR7B-fATW6O4S0_RcR2vrqRMlj5YSJq1A_RVP9qc897vO3e0hAR_kvyUJAuYadRvyk0uEMGKPcw_ncrw7KNOTOjUHX2enmxDIQP2sQTOSy_M4gb8rkYFDheCCjjGbg.amXE2jWhQYYxy0PoDlbZRIi_nx-yCQbxBiPcm17EWY0&dib_tag=se&keywords=playstation+5&qid=1775469640&sr=8-3
PlayStation 5 Console – NBA 2K26 Bundle (model Group),,4.6 out of 5 stars,(202),Not Available,https://www.amazon.com/PlayStation-Console-Bundle-model-Group-5/dp/B0FLYKJB68/ref=sr_1_4?dib=eyJ2IjoiMSJ9.AC33kQw9D50ZZUPtemZNwXQGS3nDeGiv2XicaBlzrqB0Onz_MJjGEubPGe9hp7pNePwpkBLq1_6eFwyVs2Tswo7lSHiGASupIZNNxI5rFCX4pJR7B-fATW6O4S0_RcR2vrqRMlj5YSJq1A_RVP9qc897vO3e0hAR_kvyUJAuYadRvyk0uEMGKPcw_ncrw7KNOTOjUHX2enmxDIQP2sQTOSy_M4gb8rkYFDheCCjjGbg.amXE2jWhQYYxy0PoDlbZRIi_nx-yCQbxBiPcm17EWY0&dib_tag=se&keywords=playstation+5&qid=1775469640&sr=8-4
PlayStation PS5 Console – God of War Ragnarök Bundle,,4.8 out of 5 stars,"(13,894)",Not Available,https://www.amazon.com/PlayStation-PS5-Console-Ragnar%C3%B6k-Bundle-5/dp/B0BHC395WW/ref=sr_1_5?dib=eyJ2IjoiMSJ9.AC33kQw9D50ZZUPtemZNwXQGS3nDeGiv2XicaBlzrqB0Onz_MJjGEubPGe9hp7pNePwpkBLq1_6eFwyVs2Tswo7lSHiGASupIZNNxI5rFCX4pJR7B-fATW6O4S0_RcR2vrqRMlj5YSJq1A_RVP9qc897vO3e0hAR_kvyUJAuYadRvyk0uEMGKPcw_ncrw7KNOTOjUHX2enmxDIQP2sQTOSy_M4gb8rkYFDheCCjjGbg.amXE2jWhQYYxy0PoDlbZRIi_nx-yCQbxBiPcm17EWY0&dib_tag=se&keywords=playstation+5&qid=1775469640&sr=8-5
PlayStation 5 Console (PS5),,4.8 out of 5 stars,"(9,172)",Only 1 left in stock - order soon.,https://www.amazon.com/PlayStation-5-Console-CFI-1215A01X/dp/B0BCNKKZ91/ref=sr_1_6?dib=eyJ2IjoiMSJ9.AC33kQw9D50ZZUPtemZNwXQGS3nDeGiv2XicaBlzrqB0Onz_MJjGEubPGe9hp7pNePwpkBLq1_6eFwyVs2Tswo7lSHiGASupIZNNxI5rFCX4pJR7B-fATW6O4S0_RcR2vrqRMlj5YSJq1A_RVP9qc897vO3e0hAR_kvyUJAuYadRvyk0uEMGKPcw_ncrw7KNOTOjUHX2enmxDIQP2sQTOSy_M4gb8rkYFDheCCjjGbg.amXE2jWhQYYxy0PoDlbZRIi_nx-yCQbxBiPcm17EWY0&dib_tag=se&keywords=playstation+5&qid=1775469640&sr=8-6
PlayStation 5 Console – Marvel’s Spider-Man 2 Bundle,,4.6 out of 5 stars,(278),Only 1 left in stock - order soon.,https://www.amazon.com/PlayStation-Console-Marvels-Spider-Man-Bundle-5/dp/B0CKDL29G6/ref=sr_1_7?dib=eyJ2IjoiMSJ9.AC33kQw9D50ZZUPtemZNwXQGS3nDeGiv2XicaBlzrqB0Onz_MJjGEubPGe9hp7pNePwpkBLq1_6eFwyVs2Tswo7lSHiGASupIZNNxI5rFCX4pJR7B-fATW6O4S0_RcR2vrqRMlj5YSJq1A_RVP9qc897vO3e0hAR_kvyUJAuYadRvyk0uEMGKPcw_ncrw7KNOTOjUHX2enmxDIQP2sQTOSy_M4gb8rkYFDheCCjjGbg.amXE2jWhQYYxy0PoDlbZRIi_nx-yCQbxBiPcm17EWY0&dib_tag=se&keywords=playstation+5&qid=1775469640&sr=8-7
"PlayStation DualSense™ Wireless Controller - for PS5, PC, MAC & Mobile",,4.7 out of 5 stars,"(12,914)",In Stock,https://www.amazon.com/PlayStation-DualSenseTM-Wireless-Controller-Gaming-Console/dp/B0FY6X2XXY/ref=sr_1_8?dib=eyJ2IjoiMSJ9.AC33kQw9D50ZZUPtemZNwXQGS3nDeGiv2XicaBlzrqB0Onz_MJjGEubPGe9hp7pNePwpkBLq1_6eFwyVs2Tswo7lSHiGASupIZNNxI5rFCX4pJR7B-fATW6O4S0_RcR2vrqRMlj5YSJq1A_RVP9qc897vO3e0hAR_kvyUJAuYadRvyk0uEMGKPcw_ncrw7KNOTOjUHX2enmxDIQP2sQTOSy_M4gb8rkYFDheCCjjGbg.amXE2jWhQYYxy0PoDlbZRIi_nx-yCQbxBiPcm17EWY0&dib_tag=se&keywords=playstation+5&qid=1775469640&sr=8-8
Marvel's Spider-Man: Miles Morales - PlayStation 5,,4.8 out of 5 stars,"(1,456)",In Stock,https://www.amazon.com/Marvels-Spider-Man-Miles-Morales-Playstation-5/dp/B08QFZCGVJ/ref=sr_1_9?dib=eyJ2IjoiMSJ9.AC33kQw9D50ZZUPtemZNwXQGS3nDeGiv2XicaBlzrqB0Onz_MJjGEubPGe9hp7pNePwpkBLq1_6eFwyVs2Tswo7lSHiGASupIZNNxI5rFCX4pJR7B-fATW6O4S0_RcR2vrqRMlj5YSJq1A_RVP9qc897vO3e0hAR_kvyUJAuYadRvyk0uEMGKPcw_ncrw7KNOTOjUHX2enmxDIQP2sQTOSy_M4gb8rkYFDheCCjjGbg.amXE2jWhQYYxy0PoDlbZRIi_nx-yCQbxBiPcm17EWY0&dib_tag=se&keywords=playstation+5&qid=1775469640&sr=8-9
REANIMAL - PlayStation 5,,4.4 out of 5 stars,(48),In Stock,https://www.amazon.com/REANIMAL-PlayStation-5/dp/B0FKWMRB5M/ref=sr_1_10?dib=eyJ2IjoiMSJ9.AC33kQw9D50ZZUPtemZNwXQGS3nDeGiv2XicaBlzrqB0Onz_MJjGEubPGe9hp7pNePwpkBLq1_6eFwyVs2Tswo7lSHiGASupIZNNxI5rFCX4pJR7B-fATW6O4S0_RcR2vrqRMlj5YSJq1A_RVP9qc897vO3e0hAR_kvyUJAuYadRvyk0uEMGKPcw_ncrw7KNOTOjUHX2enmxDIQP2sQTOSy_M4gb8rkYFDheCCjjGbg.amXE2jWhQYYxy0PoDlbZRIi_nx-yCQbxBiPcm17EWY0&dib_tag=se&keywords=playstation+5&qid=1775469640&sr=8-10
